constructor,c_nationality,c_url,seasons
Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,3
Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,64
Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,2
BRM,British,http://en.wikipedia.org/wiki/BRM,20
Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,3
Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,29
Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,7
Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering,2
OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,1
Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,9
Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,3
Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,9
Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft,1
Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,1
Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,1
Tec-Mec,Italian,http://en.wikipedia.org/wiki/Tec-Mec,1
JBW,British,http://en.wikipedia.org/wiki/JBW,3
Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team),1
Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,1
Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche,1
Scarab,American,http://en.wikipedia.org/wiki/Scarab_(constructor),1
Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus,7
Gilby,British,http://en.wikipedia.org/wiki/Gilby,3
Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus,2
De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso,2
Emeryson,British,http://en.wikipedia.org/wiki/Emeryson,2
De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso,2
MBM,Swiss,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors,1
Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola,11
Brabham,British,http://en.wikipedia.org/wiki/Brabham,22
Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus,6
ENB,Belgium,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge,1
LDS,South African,http://en.wikipedia.org/wiki/LDS_(automobile),3
Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,1
De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso,3
Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus,2
BRP,British,http://en.wikipedia.org/wiki/British_Racing_Partnership,2
Stebro,Canadian,http://en.wikipedia.org/wiki/Stebro,1
Scirocco,British,http://en.wikipedia.org/wiki/Scirocco-Powell,2
ATS,Italian,http://en.wikipedia.org/wiki/ATS_(wheels),8
Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus,6
Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,12
De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso,1
Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham,6
Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham,3
Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1,8
Derrington,British,http://en.wikipedia.org/wiki/Derrington-Francis,1
Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham,6
LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile),1
Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,1
LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile),2
RE,Rhodesian,http://en.wikipedia.org/wiki/RE_%28automobile%29,1
Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham,4
Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,2
