year,driver,constructor,circuit
1994,Ayrton Senna,Williams,Autódromo José Carlos Pace
1994,Ayrton Senna,Williams,Okayama International Circuit
1994,Ayrton Senna,Williams,Autodromo Enzo e Dino Ferrari
1994,Michael Schumacher,Benetton,Circuit de Barcelona-Catalunya
1994,Michael Schumacher,Benetton,Circuit Gilles Villeneuve
1994,Damon Hill,Williams,Circuit de Nevers Magny-Cours
1994,Damon Hill,Williams,Silverstone Circuit
1994,Gerhard Berger,Ferrari,Hockenheimring
1994,Michael Schumacher,Benetton,Hungaroring
1994,Rubens Barrichello,Jordan,Circuit de Spa-Francorchamps
1994,Jean Alesi,Ferrari,Autodromo Nazionale di Monza
1994,Gerhard Berger,Ferrari,Autódromo do Estoril
1994,Michael Schumacher,Benetton,Circuito de Jerez
1994,Michael Schumacher,Benetton,Suzuka Circuit
1994,Nigel Mansell,Williams,Adelaide Street Circuit
1995,Damon Hill,Williams,Autódromo José Carlos Pace
1995,David Coulthard,Williams,Autódromo Juan y Oscar Gálvez
1995,Michael Schumacher,Benetton,Autodromo Enzo e Dino Ferrari
1995,Michael Schumacher,Benetton,Circuit de Barcelona-Catalunya
1995,Damon Hill,Williams,Circuit de Monaco
1995,Michael Schumacher,Benetton,Circuit Gilles Villeneuve
1995,Damon Hill,Williams,Circuit de Nevers Magny-Cours
1995,Damon Hill,Williams,Silverstone Circuit
1995,Damon Hill,Williams,Hockenheimring
1995,Damon Hill,Williams,Hungaroring
1995,Gerhard Berger,Ferrari,Circuit de Spa-Francorchamps
1995,David Coulthard,Williams,Autodromo Nazionale di Monza
1995,David Coulthard,Williams,Autódromo do Estoril
1995,David Coulthard,Williams,Nürburgring
1995,David Coulthard,Williams,Okayama International Circuit
1995,Michael Schumacher,Benetton,Suzuka Circuit
1995,Damon Hill,Williams,Adelaide Street Circuit
1996,Jacques Villeneuve,Williams,Albert Park Grand Prix Circuit
1996,Damon Hill,Williams,Autódromo José Carlos Pace
1996,Damon Hill,Williams,Autódromo Juan y Oscar Gálvez
1996,Damon Hill,Williams,Nürburgring
1996,Michael Schumacher,Ferrari,Autodromo Enzo e Dino Ferrari
1996,Michael Schumacher,Ferrari,Circuit de Monaco
1996,Damon Hill,Williams,Circuit de Barcelona-Catalunya
1997,Jacques Villeneuve,Williams,Albert Park Grand Prix Circuit
1997,Jacques Villeneuve,Williams,Autódromo José Carlos Pace
1997,Jacques Villeneuve,Williams,Autódromo Juan y Oscar Gálvez
1997,Jacques Villeneuve,Williams,Autodromo Enzo e Dino Ferrari
1997,Heinz-Harald Frentzen,Williams,Circuit de Monaco
1997,Jacques Villeneuve,Williams,Circuit de Barcelona-Catalunya
1997,Michael Schumacher,Ferrari,Circuit Gilles Villeneuve
1997,Michael Schumacher,Ferrari,Circuit de Nevers Magny-Cours
1997,Jacques Villeneuve,Williams,Silverstone Circuit
1997,Gerhard Berger,Benetton,Hockenheimring
1998,Mika Häkkinen,McLaren,Albert Park Grand Prix Circuit
1998,Mika Häkkinen,McLaren,Autódromo José Carlos Pace
1998,David Coulthard,McLaren,Autódromo Juan y Oscar Gálvez
1998,Mika Häkkinen,McLaren,Silverstone Circuit
1998,Giancarlo Fisichella,Benetton,A1-Ring
1998,Mika Häkkinen,McLaren,Hockenheimring
1998,Mika Häkkinen,McLaren,Circuit de Spa-Francorchamps
1999,Mika Häkkinen,McLaren,Albert Park Grand Prix Circuit
1999,Mika Häkkinen,McLaren,Autódromo José Carlos Pace
1999,Mika Häkkinen,McLaren,Autodromo Enzo e Dino Ferrari
2000,Mika Häkkinen,McLaren,Albert Park Grand Prix Circuit
2000,Mika Häkkinen,McLaren,Autodromo Enzo e Dino Ferrari
2000,Rubens Barrichello,Ferrari,Silverstone Circuit
2000,Michael Schumacher,Ferrari,Suzuka Circuit
2001,Michael Schumacher,Ferrari,Indianapolis Motor Speedway
2002,Michael Schumacher,Ferrari,Sepang International Circuit
2002,Michael Schumacher,Ferrari,Suzuka Circuit
2003,Michael Schumacher,Ferrari,Albert Park Grand Prix Circuit
2003,Fernando Alonso,Renault,Sepang International Circuit
2003,Rubens Barrichello,Ferrari,Autódromo José Carlos Pace
2003,Michael Schumacher,Ferrari,Autodromo Enzo e Dino Ferrari
