year,circuit
1950,Circuit Bremgarten
1950,Indianapolis Motor Speedway
1950,Circuit de Monaco
1950,Autodromo Nazionale di Monza
1950,Reims-Gueux
1950,Silverstone Circuit
1950,Circuit de Spa-Francorchamps
1951,Circuit Bremgarten
1951,Indianapolis Motor Speedway
1951,Autodromo Nazionale di Monza
1951,Nürburgring
1951,Circuit de Pedralbes
1951,Reims-Gueux
1951,Silverstone Circuit
1951,Circuit de Spa-Francorchamps
1952,Circuit Bremgarten
1952,Rouen-Les-Essarts
1952,Indianapolis Motor Speedway
1952,Autodromo Nazionale di Monza
1952,Nürburgring
1952,Silverstone Circuit
1952,Circuit de Spa-Francorchamps
1952,Circuit Park Zandvoort
1953,Circuit Bremgarten
1953,Autódromo Juan y Oscar Gálvez
1953,Indianapolis Motor Speedway
1953,Autodromo Nazionale di Monza
1953,Nürburgring
1953,Reims-Gueux
1953,Silverstone Circuit
1953,Circuit de Spa-Francorchamps
1953,Circuit Park Zandvoort
1954,Circuit Bremgarten
1954,Autódromo Juan y Oscar Gálvez
1954,Indianapolis Motor Speedway
1954,Autodromo Nazionale di Monza
1954,Nürburgring
1954,Circuit de Pedralbes
1954,Reims-Gueux
1954,Silverstone Circuit
1954,Circuit de Spa-Francorchamps
1955,Aintree
1955,Autódromo Juan y Oscar Gálvez
1955,Indianapolis Motor Speedway
1955,Circuit de Monaco
1955,Autodromo Nazionale di Monza
1955,Circuit de Spa-Francorchamps
1955,Circuit Park Zandvoort
1956,Autódromo Juan y Oscar Gálvez
1956,Indianapolis Motor Speedway
1956,Circuit de Monaco
1956,Autodromo Nazionale di Monza
1956,Nürburgring
1956,Reims-Gueux
1956,Silverstone Circuit
1956,Circuit de Spa-Francorchamps
1957,Aintree
1957,Rouen-Les-Essarts
1957,Autódromo Juan y Oscar Gálvez
1957,Indianapolis Motor Speedway
1957,Circuit de Monaco
1957,Autodromo Nazionale di Monza
1957,Nürburgring
1957,Pescara Circuit
1958,Ain Diab
1958,Circuito da Boavista
1958,Autódromo Juan y Oscar Gálvez
1958,Indianapolis Motor Speedway
1958,Circuit de Monaco
1958,Autodromo Nazionale di Monza
1958,Nürburgring
1958,Reims-Gueux
1958,Silverstone Circuit
1958,Circuit de Spa-Francorchamps
1958,Circuit Park Zandvoort
1959,Aintree
1959,AVUS
1959,Indianapolis Motor Speedway
1959,Circuit de Monaco
1959,Monsanto Park Circuit
1959,Autodromo Nazionale di Monza
1959,Reims-Gueux
1959,Sebring International Raceway
1959,Circuit Park Zandvoort
1960,Circuito da Boavista
1960,Autódromo Juan y Oscar Gálvez
1960,Indianapolis Motor Speedway
1960,Circuit de Monaco
1960,Autodromo Nazionale di Monza
1960,Reims-Gueux
1960,Riverside International Raceway
1960,Silverstone Circuit
1960,Circuit de Spa-Francorchamps
1960,Circuit Park Zandvoort
1961,Aintree
1961,Circuit de Monaco
1961,Autodromo Nazionale di Monza
1961,Nürburgring
1961,Reims-Gueux
1961,Circuit de Spa-Francorchamps
1961,Watkins Glen
1961,Circuit Park Zandvoort
1962,Aintree
1962,Rouen-Les-Essarts
1962,Prince George Circuit
1962,Circuit de Monaco
1962,Autodromo Nazionale di Monza
1962,Nürburgring
1962,Circuit de Spa-Francorchamps
1962,Watkins Glen
1962,Circuit Park Zandvoort
1963,Prince George Circuit
1963,Circuit de Monaco
1963,Autodromo Nazionale di Monza
1963,Nürburgring
1963,Reims-Gueux
1963,Autódromo Hermanos Rodríguez
1963,Silverstone Circuit
1963,Circuit de Spa-Francorchamps
1963,Watkins Glen
1963,Circuit Park Zandvoort
1964,Brands Hatch
1964,Rouen-Les-Essarts
1964,Circuit de Monaco
1964,Autodromo Nazionale di Monza
1964,Nürburgring
1964,Autódromo Hermanos Rodríguez
1964,Circuit de Spa-Francorchamps
1964,Watkins Glen
1964,Circuit Park Zandvoort
1964,Zeltweg
1965,Charade Circuit
1965,Prince George Circuit
1965,Circuit de Monaco
1965,Autodromo Nazionale di Monza
1965,Nürburgring
1965,Autódromo Hermanos Rodríguez
1965,Silverstone Circuit
1965,Circuit de Spa-Francorchamps
1965,Watkins Glen
1965,Circuit Park Zandvoort
1966,Brands Hatch
1966,Circuit de Monaco
1966,Autodromo Nazionale di Monza
1966,Nürburgring
1966,Reims-Gueux
1966,Autódromo Hermanos Rodríguez
1966,Circuit de Spa-Francorchamps
1966,Watkins Glen
1966,Circuit Park Zandvoort
1967,Kyalami
1967,Le Mans
1967,Circuit de Monaco
1967,Autodromo Nazionale di Monza
1967,Mosport International Raceway
1967,Nürburgring
1967,Autódromo Hermanos Rodríguez
1967,Silverstone Circuit
1967,Circuit de Spa-Francorchamps
1967,Watkins Glen
1967,Circuit Park Zandvoort
1968,Brands Hatch
1968,Rouen-Les-Essarts
1968,Jarama
1968,Kyalami
1968,Circuit de Monaco
1968,Autodromo Nazionale di Monza
1968,Nürburgring
1968,Autódromo Hermanos Rodríguez
1968,Circuit de Spa-Francorchamps
1968,Circuit Mont-Tremblant
1968,Watkins Glen
1968,Circuit Park Zandvoort
1969,Charade Circuit
1969,Kyalami
1969,Circuit de Monaco
1969,Montjuïc
1969,Autodromo Nazionale di Monza
1969,Mosport International Raceway
1969,Nürburgring
1969,Autódromo Hermanos Rodríguez
1969,Silverstone Circuit
1969,Watkins Glen
1969,Circuit Park Zandvoort
1970,Brands Hatch
1970,Charade Circuit
1970,Hockenheimring
1970,Jarama
1970,Kyalami
1970,Circuit de Monaco
1970,Autodromo Nazionale di Monza
1970,A1-Ring
1970,Autódromo Hermanos Rodríguez
1970,Circuit de Spa-Francorchamps
1970,Circuit Mont-Tremblant
1970,Watkins Glen
1970,Circuit Park Zandvoort
1971,Kyalami
1971,Circuit de Monaco
1971,Montjuïc
1971,Autodromo Nazionale di Monza
1971,Mosport International Raceway
1971,Nürburgring
1971,A1-Ring
1971,Circuit Paul Ricard
1971,Silverstone Circuit
1971,Watkins Glen
1971,Circuit Park Zandvoort
1972,Brands Hatch
1972,Charade Circuit
1972,Autódromo Juan y Oscar Gálvez
1972,Jarama
1972,Kyalami
1972,Circuit de Monaco
1972,Autodromo Nazionale di Monza
1972,Mosport International Raceway
1972,Nivelles-Baulers
1972,Nürburgring
1972,A1-Ring
1972,Watkins Glen
1973,Scandinavian Raceway
1973,Autódromo Juan y Oscar Gálvez
1973,Autódromo José Carlos Pace
1973,Kyalami
1973,Circuit de Monaco
1973,Montjuïc
1973,Autodromo Nazionale di Monza
1973,Mosport International Raceway
1973,Nürburgring
1973,A1-Ring
1973,Circuit Paul Ricard
1973,Silverstone Circuit
1973,Watkins Glen
1973,Circuit Park Zandvoort
1973,Zolder
1974,Scandinavian Raceway
1974,Brands Hatch
1974,Dijon-Prenois
1974,Autódromo Juan y Oscar Gálvez
1974,Autódromo José Carlos Pace
1974,Jarama
1974,Kyalami
1974,Circuit de Monaco
1974,Autodromo Nazionale di Monza
1974,Mosport International Raceway
1974,Nivelles-Baulers
1974,Nürburgring
1974,A1-Ring
1974,Watkins Glen
1974,Circuit Park Zandvoort
1975,Scandinavian Raceway
1975,Autódromo Juan y Oscar Gálvez
1975,Autódromo José Carlos Pace
1975,Kyalami
1975,Circuit de Monaco
1975,Montjuïc
1975,Autodromo Nazionale di Monza
1975,Nürburgring
1975,A1-Ring
1975,Circuit Paul Ricard
1975,Silverstone Circuit
1975,Watkins Glen
1975,Circuit Park Zandvoort
